ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,CONN-SMD_DF40HC-3.0-100DS-0.4V-51,"CN1,CN2",CONN-SMD_DF40HC-3.0-100DS-0.4V-51,2,CONN-SMD_DF40HC-3.0-100DS-0.4V-51,HRS(广濑),LCSC,C424649
2,GREEN,U14,LED0603-FD,1,GREEN,YONGYUTAI(永裕泰),LCSC,C19273151
3,1kΩ,"R29,R34",R0402,2,0402WGF1001TCE,UNI-ROYAL(厚声),LCSC,C11702
4,GT-TC018A-H0375-L1,SW1,SW-SMD_L4.7-W3.5-P3.35-EH,1,GT-TC018A-H0375-L1,G-Switch(品赞),LCSC,C963235
5,74LVC1G07SE-7,U16,SC-88A_L2.0-W1.3-P0.65-LS2.1-BL,1,74LVC1G07SE-7,DIODES(美台),LCSC,C67531
6,YLED0603R,LED1,LED0603-FD,1,YLED0603R,YONGYUTAI(永裕泰),LCSC,C19171390
7,TS-1928-B,SW2,KEY-SMD_4P-L2.8-W2.0-P1.20-LS3.0-TL,1,TS-1928-B,XKB Connectivity(中国星坤),LCSC,C1121891
8,BQ25895RTWR,U9,QFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,BQ25895RTWR,TI(德州仪器),LCSC,C80200
9,2.2uH,L1,IND-SMD_L6.5-W6.5_IHLP-2525,1,IHLP2525CZER2R2M01,VISHAY(威世),LCSC,C540967
10,47nF,C4,C0402,1,CC0402KRX7R8BB473,YAGEO(国巨),LCSC,C107020
11,4.7uF,"C3,C59",C0603,2,CL10A475KO8NNNC,SAMSUNG(三星),LCSC,C19666
12,1uF,"C1,C58",C0805,2,CL21B105KBFNNNE,SAMSUNG(三星),LCSC,C28323
13,10kΩ,"R13,R14,R15,R16,R26,R27,R28",R0402,7,0402WGF1002TCE,UNI-ROYAL(厚声),LCSC,C25744
14,10uF,"C2,C5,C31,C51,C52",C0805,5,GRM21BR71A106KE51L,muRata(村田),LCSC,C86038
15,TYPEC-304J-BCP16,PWR,USB-C-SMD_TYPEC-304J-BCP16,1,TYPEC-304J-BCP16,XUNPU(讯普),LCSC,C2835315
